subject,stimulus,response,goodness,reactionTime
experimentMFC_4,s5_t2_r2,in,3,6.93448029999854
experimentMFC_4,s6_t2_r2,in,5,2.140116399998078
experimentMFC_4,s10_t2_r2,in,5,3.498834400001215
experimentMFC_4,s4_t2_r2,in,3,3.491581599999336
experimentMFC_4,s1_t2_r2,in,5,2.660426400005236
experimentMFC_4,s7_t2_r2,in,5,3.163276899998891
experimentMFC_4,s9_t2_r2,in,4,3.378558599993994
experimentMFC_4,s3_t2_r2,in,4,2.369024999999965
experimentMFC_4,s8_t2_r2,in,5,2.378946199998609
experimentMFC_4,s2_t2_r2,in,7,5.332824400000391
experimentMFC_4,s10_t2_r2,in,4,2.5192815999980667
experimentMFC_4,s1_t2_r2,in,6,2.7919722000006004
experimentMFC_4,s5_t2_r2,in,3,2.1418607000014163
experimentMFC_4,s4_t2_r2,in,3,2.1929159999999683
experimentMFC_4,s8_t2_r2,in,5,2.1993092999982764
experimentMFC_4,s3_t2_r2,in,3,2.3785644000017783
experimentMFC_4,s7_t2_r2,in,4,2.190362000001187
experimentMFC_4,s9_t2_r2,in,3,0.7941842000000179
experimentMFC_4,s6_t2_r2,in,4,2.133550300000934
experimentMFC_4,s2_t2_r2,in,7,3.6319797999967705
experimentMFC_4,s6_t2_r2,in,4,1.86961949999386
experimentMFC_4,s8_t2_r2,in,5,2.714837300001818
experimentMFC_4,s9_t2_r2,in,4,6.36731420000433
experimentMFC_4,s1_t2_r2,in,6,3.77089210000122
experimentMFC_4,s10_t2_r2,in,4,4.941951799999515
experimentMFC_4,s5_t2_r2,in,3,4.452730099998007
experimentMFC_4,s7_t2_r2,in,4,2.417213400003675
experimentMFC_4,s4_t2_r2,in,3,0.8980647999997018
experimentMFC_4,s3_t2_r2,in,3,0.923037900000054
experimentMFC_4,s2_t2_r2,in,7,2.1805902999985847
