subject,stimulus,response,goodness,reactionTime
experimentMFC_2,s7_t2_r2,fl,3,4.598947999998927
experimentMFC_2,s4_t2_r2,fl,2,3.0513019999998505
experimentMFC_2,s1_t2_r2,fl,5,5.460511700002826
experimentMFC_2,s10_t2_r2,fl,3,2.7375727000035117
experimentMFC_2,s6_t2_r2,fl,3,3.0340783999999985
experimentMFC_2,s8_t2_r2,fl,3,3.335922000005666
experimentMFC_2,s3_t2_r2,fl,3,2.8342267999978503
experimentMFC_2,s9_t2_r2,fl,3,2.3818828000003123
experimentMFC_2,s5_t2_r2,fl,2,5.006064400004107
experimentMFC_2,s2_t2_r2,fl,5,4.223626500002865
experimentMFC_2,s7_t2_r2,fl,4,3.2883178000047337
experimentMFC_2,s4_t2_r2,fl,2,1.6871200000023236
experimentMFC_2,s2_t2_r2,fl,6,2.420672599997488
experimentMFC_2,s5_t2_r2,fl,2,2.579692800005432
experimentMFC_2,s8_t2_r2,fl,3,2.2378215999997337
experimentMFC_2,s6_t2_r2,fl,3,1.353492099995492
experimentMFC_2,s1_t2_r2,fl,5,3.697953000002599
experimentMFC_2,s10_t2_r2,fl,3,2.4161418000003323
experimentMFC_2,s3_t2_r2,fl,3,1.5734397999985958
experimentMFC_2,s9_t2_r2,fl,3,2.445808999997098
experimentMFC_2,s5_t2_r2,fl,2,7.27313619999768
experimentMFC_2,s7_t2_r2,fl,4,2.610454400004528
experimentMFC_2,s3_t2_r2,fl,3,1.727604799998517
experimentMFC_2,s10_t2_r2,fl,3,2.771569800002908
experimentMFC_2,s2_t2_r2,fl,6,1.6929650999954902
experimentMFC_2,s6_t2_r2,fl,3,2.4390904999963823
experimentMFC_2,s4_t2_r2,fl,2,1.1249637000000805
experimentMFC_2,s8_t2_r2,fl,3,2.7737397000018973
experimentMFC_2,s1_t2_r2,fl,4,3.471507599999313
experimentMFC_2,s9_t2_r2,fl,5,1.902892300000531
