subject,stimulus,response,goodness,reactionTime
experimentMFC_2,s3_t1_r2,fl,6,-0.357806600000913
experimentMFC_2,s6_t1_r2,fl,7,-0.406782199999725
experimentMFC_2,s2_t1_r2,fl,7,-0.4239168999993126
experimentMFC_2,s9_t1_r2,fl,7,-0.1827601000004506
experimentMFC_2,s5_t1_r2,fl,6,-0.0555624999979045
experimentMFC_2,s7_t1_r2,fl,5,-0.3285486000022501
experimentMFC_2,s4_t1_r2,fl,6,-0.4809709000001021
experimentMFC_2,s1_t1_r2,fl,6,-0.4258407000015722
experimentMFC_2,s10_t1_r2,fl,7,-0.0551391999979387
experimentMFC_2,s8_t1_r2,fl,7,-0.1447517999986303
experimentMFC_2,s1_t1_r2,fl,6,-0.2351283999996667
experimentMFC_2,s8_t1_r2,fl,7,-0.2873484000010649
experimentMFC_2,s10_t1_r2,fl,6,-0.3955311000026995
experimentMFC_2,s4_t1_r2,fl,6,-0.4404770000001008
experimentMFC_2,s9_t1_r2,fl,7,-0.3794565999996848
experimentMFC_2,s6_t1_r2,fl,7,-0.2659616999990248
experimentMFC_2,s7_t1_r2,fl,5,-0.394662700000481
experimentMFC_2,s5_t1_r2,fl,6,-0.0778821000021707
experimentMFC_2,s2_t1_r2,fl,7,-0.488186599999608
experimentMFC_2,s3_t1_r2,fl,6,-0.3270815000032598
experimentMFC_2,s6_t1_r2,fl,7,-0.4226989000017056
experimentMFC_2,s4_t1_r2,fl,6,-0.5338768000001437
experimentMFC_2,s2_t1_r2,fl,7,-0.2333252999997057
experimentMFC_2,s10_t1_r2,fl,6,-0.4695812000027217
experimentMFC_2,s5_t1_r2,fl,6,-0.3620062999980291
experimentMFC_2,s7_t1_r2,fl,5,-0.3457013999977789
experimentMFC_2,s8_t1_r2,fl,7,-0.4064827999973204
experimentMFC_2,s3_t1_r2,fl,7,-0.3132375000022875
experimentMFC_2,s1_t1_r2,fl,6,-0.3885880999987421
experimentMFC_2,s9_t1_r2,fl,7,-0.4577852000002167
