subject,stimulus,response,goodness,reactionTime
experimentMFC_4,s9_t1_r2,in,6,4.915854749968275
experimentMFC_4,s5_t1_r2,in,4,6.465663000009954
experimentMFC_4,s1_t1_r2,in,1,1.5362477499293163
experimentMFC_4,s8_t1_r2,in,6,1.4660560000920668
experimentMFC_4,s4_t1_r2,in,4,1.6419317499967292
experimentMFC_4,s7_t1_r2,in,1,1.60546220804099
experimentMFC_4,s6_t1_r2,in,1,1.8237112499773505
experimentMFC_4,s2_t1_r2,in,4,2.616270540980622
experimentMFC_4,s3_t1_r2,in,1,2.4338251668959856
experimentMFC_4,s10_t1_r2,in,2,0.7863767499802634
experimentMFC_4,s6_t1_r2,in,1,1.65336183400359
experimentMFC_4,s4_t1_r2,in,2,0.1199779590824619
experimentMFC_4,s5_t1_r2,in,3,2.108668834087439
experimentMFC_4,s10_t1_r2,in,2,1.957218791008927
experimentMFC_4,s9_t1_r2,in,6,1.7594172910321504
experimentMFC_4,s1_t1_r2,in,1,1.6801762919640169
experimentMFC_4,s3_t1_r2,in,1,2.916431625024416
experimentMFC_4,s8_t1_r2,in,6,1.306330916006118
experimentMFC_4,s2_t1_r2,in,5,2.093181042000652
experimentMFC_4,s7_t1_r2,in,1,1.919491833075881
experimentMFC_4,s9_t1_r2,in,5,2.8289450829615816
experimentMFC_4,s8_t1_r2,in,6,1.149026041966863
experimentMFC_4,s5_t1_r2,in,2,0.320475791930221
experimentMFC_4,s2_t1_r2,in,6,2.0560846249572933
experimentMFC_4,s6_t1_r2,in,2,0.6097258749650791
experimentMFC_4,s4_t1_r2,in,3,0.4729979579569772
experimentMFC_4,s3_t1_r2,in,1,1.5710024170111865
experimentMFC_4,s10_t1_r2,in,2,0.3589612500509247
experimentMFC_4,s1_t1_r2,in,2,1.2589374160161242
experimentMFC_4,s7_t1_r2,in,1,1.9274158750195056
